long,lat,nombre,domicilio,imagen,automat,observ,nro_est,horario,dire_norm
-58.4119136707836,-34.5926966138816,Billinghurst y Mansilla,Billinghurst 1533 y Mansilla,estacion_automatica.png,AUTOMÁTICA,Abril 2017,181,Estación automática: disponibilidad las 24 horas,1853 BILLINGHURST
-58.4450986553597,-34.5928392137991,Villarroel,Villarroel y Humboldt,estacion_automatica.png,AUTOMÁTICA,Abril 2017,158,Estación automática: disponibilidad las 24 horas,VILLARROEL y HUMBOLDT
-58.3620833603248,-34.6306928058918,Juan Manuel Blanes,Juan Manuel Blanes 383,estacion_automatica.png,AUTOMÁTICA,Abril 2017,153,Estación automática: disponibilidad las 24 horas,383 BLANES JUAN MANUEL
-58.3884150937001,-34.6030044362865,Paraná,Lavalle enttre Montevideo y Paraná,estacion_automatica.png,AUTOMÁTICA,Abril 2017,83,Estación automática: disponibilidad las 24 horas,LAVALLE y PARANA
-58.3709849319133,-34.6256071806032,Brasil,Brasil y Defensa,estacion_automatica.png,AUTOMÁTICA,Abril 2017,172,Estación automática: disponibilidad las 24 horas,BRASIL AV y DEFENSA
-58.4077875519753,-34.6221944542981,Hospital Francés,Hospital Francés: Carlos Calvo y La Rioja,estacion_automatica.png,AUTOMÁTICA,Abril 2017,146,Estación automática: disponibilidad las 24 horas,CALVO CARLOS y LA RIOJA
-58.3947694934007,-34.6206013403211,Carlos Calvo,Carlos Calvo y Sarandí,estacion_automatica.png,AUTOMÁTICA,Abril 2017,93,Estación automática: disponibilidad las 24 horas,CALVO CARLOS y SARANDI
-58.3629996585557,-34.6049691631744,Macacha Guemes,Macacha Guemes y Juana Manso,estacion_automatica.png,AUTOMÁTICA,Abril 2017,111,Estación automática: disponibilidad las 24 horas,GUEMES MACACHA y MANSO JUANA
-58.4035331506686,-34.5774146206859,Malba,Av Figueroa Alcorta y San Martín de Tours,estacion_automatica.png,AUTOMÁTICA,Abril 2017,103,Estación automática: disponibilidad las 24 horas,"FIGUEROA ALCORTA, PRES. AV. y SAN MARTIN DE TOURS"
-58.4202102546928,-34.5729623675618,Godoy Cruz y Libertador,Godoy Cruz 3291 entre Av Del Libertador y Seguí,estacion_automatica.png,AUTOMÁTICA,Abril 2017,160,Estación automática: disponibilidad las 24 horas,3291 GODOY CRUZ
-58.4352336081538,-34.5781909512788,Ravignani y Guatemala,Ravignani 2171 y Guatemala,estacion_automatica.png,AUTOMÁTICA,Mayo 2017,182,Estación automática: disponibilidad las 24 horas,2171 RAVIGNANI
-58.3877666654484,-34.6349489594118,Hospital Británico,Perdriel y Finochietto Enrique,estacion_automatica.png,AUTOMÁTICA,Mayo 2017,138,Estación automática: disponibilidad las 24 horas,PERDRIEL y FINOCHIETTO ENRIQUE DR.
-58.3742850966173,-34.5919408626661,Retiro II,Plaza Fuerza Aérea: Av. Dr. J. Ramos Mejia y Av Del Libertador,estacion_automatica.png,AUTOMÁTICA,Mayo 2017,130,Estación automática: disponibilidad las 24 horas,DEL LIBERTADOR AV y RAMOS MEJIA DR AV
-58.3742100283191,-34.5918464928405,Retiro III,Plaza Fuerza Aérea: Av. Dr. J. Ramos Mejia y Av Del Libertador,estacion_automatica.png,AUTOMÁTICA,Mayo 2017,131,Estación automática: disponibilidad las 24 horas,DEL LIBERTADOR AV y RAMOS MEJIA DR AV
-58.3959443595269,-34.630437687185,Hospital Garrahan,Hospital Garrahan: Av Brasil y Pichincha,estacion_automatica.png,AUTOMÁTICA,Mayo 2017,107,Estación automática: disponibilidad las 24 horas,BRASIL AV y PICHINCHA AV
-58.4343825082215,-34.581039917576,Nicaragua,Nicaragua 5690 entre Bonpland y Fitz Roy,estacion_automatica.png,AUTOMÁTICA,Mayo 2017,133,Estación automática: disponibilidad las 24 horas,5690 NICARAGUA
-58.4157587038097,-34.6046352325181,Billinghurst y Valentín Gomez,Billinghurst 455 y Valentín Gomez,estacion_automatica.png,AUTOMÁTICA,Mayo 2017,143,Estación automática: disponibilidad las 24 horas,455 BILLINGHURST
-58.3674700069781,-34.6159263966689,Azopardo y Chile,Azopardo 700 y Chile,estacion_automatica.png,AUTOMÁTICA,Mayo 2017,137,Estación automática: disponibilidad las 24 horas,AZOPARDO y CHILE
-58.4282171673392,-34.5834801072487,Oro,Fray Justo Santamaria de Oro y Guatemala,estacion_automatica.png,AUTOMÁTICA,Mayo 2017,125,Estación automática: disponibilidad las 24 horas,FRAY JUSTO SANTAMARIA DE ORO y GUATEMALA
-58.3742180079119,-34.6199404395595,Humberto Primo,Perú 1016 entre Humberto Primo y Carlos Calvo,estacion_automatica.png,AUTOMÁTICA,Mayo 2017,117,Estación automática: disponibilidad las 24 horas,1016 PERU
-58.4025983842195,-34.5921042409009,Hospital Alemán,Beruti y Ecuador,estacion_automatica.png,AUTOMÁTICA,Mayo 2017,116,Estación automática: disponibilidad las 24 horas,BERUTI y ECUADOR
-58.3904105537014,-34.6118379526452,Solís y Alsina,Solís 225 y Adolfo Alsina,estacion_automatica.png,AUTOMÁTICA,Mayo 2017,141,Estación automática: disponibilidad las 24 horas,225 SOLIS
-58.4529268261496,-34.5922124775116,Santos Dumont y Otero,Santos Dumont 4380 y Otero,estacion_automatica.png,AUTOMÁTICA,Mayo 2017,127,Estación automática: disponibilidad las 24 horas,4380 DUMONT SANTOS
-58.4288881956896,-34.590554215666,Armenia y Gorriti,Armenia 1525 entre Gorriti y Honduras,estacion_automatica.png,AUTOMÁTICA,Mayo 2017,142,Estación automática: disponibilidad las 24 horas,1525 ARMENIA
-58.3791048612802,-34.6274554061156,Constitución I,Av Brasil 1050 y Lima,estacion_automatica.png,AUTOMÁTICA,Mayo 2017,147,Estación automática: disponibilidad las 24 horas,1050 BRASIL AV
-58.3792318852578,-34.6274940764583,Constitución II,Av Brasil 1060 y Lima,estacion_automatica.png,AUTOMÁTICA,Mayo 2017,148,Estación automática: disponibilidad las 24 horas,1060 BRASIL AV
-58.4125592981411,-34.6417279105113,Parque José Evaristo Uriburu,Pque. José E. Uriburu - Almafuerte 300,estacion_automatica.png,AUTOMÁTICA,Junio 2017,155,Estación automática: disponibilidad las 24 horas,300 ALMAFUERTE AV.
-58.4066167991811,-34.6093554863347,Once II,Bartolomé Mitre y Av Pueyrredón,estacion_automatica.png,AUTOMÁTICA,Junio 2017,163,Estación automática: disponibilidad las 24 horas,MITRE BARTOLOME y PUEYRREDON AV
-58.4279521831874,-34.6283092127138,Senillosa y Zuviría,Senillosa 989 y Zuviría,estacion_automatica.png,AUTOMÁTICA,Junio 2017,157,Estación automática: disponibilidad las 24 horas,989 SENILLOSA
-58.4373968334021,-34.5850363937355,Gorriti,Fitz Roy 1590 y Gorriti,estacion_automatica.png,AUTOMÁTICA,Junio 2017,159,Estación automática: disponibilidad las 24 horas,1590 FITZ ROY
-58.4019451698558,-34.6092390967784,Larrea y Bartolomé Mitre,Larrea entre Bartolomé Mitre y Av Rivadavia,estacion_automatica.png,AUTOMÁTICA,Junio 2017,162,Estación automática: disponibilidad las 24 horas,LARREA y MITRE BARTOLOME
-58.4059662231588,-34.5997327041382,San Luis y Ecuador,San Luis 2862 entre Ecuador y Boulogne Sur Mer,estacion_automatica.png,AUTOMÁTICA,Junio 2017,170,Estación automática: disponibilidad las 24 horas,2862 SAN LUIS
-58.40785166336,-34.5977635770633,Plaza Monseñor Miguel de Andrea,Plaza Monseñor Miguel de Andrea (Anchorena 900),estacion_automatica.png,AUTOMÁTICA,Junio 2017,165,Estación automática: disponibilidad las 24 horas,901 ANCHORENA TOMAS MANUEL
-58.3812826082139,-34.6186199568167,Estados Unidos,Estados Unidos y Lima,estacion_automatica.png,AUTOMÁTICA,Junio 2017,168,Estación automática: disponibilidad las 24 horas,ESTADOS UNIDOS y LIMA
-58.3995268655325,-34.6032429525726,Pasteur,Pasteur 501 entre Tucumán y Lavalle,estacion_automatica.png,AUTOMÁTICA,Junio 2017,171,Estación automática: disponibilidad las 24 horas,501 PASTEUR
-58.407965559468,-34.5778491087657,Plaza Alemania,Plaza Alemania: Del Libertador Av y Cavia,estacion_automatica.png,AUTOMÁTICA,Junio 2017,156,Estación automática: disponibilidad las 24 horas,DEL LIBERTADOR AV y CAVIA
-58.4119247639604,-34.6120200280467,Facultad de Psicología,Hipólito Yrigoyen y 24 de Noviembre,estacion_automatica.png,AUTOMÁTICA,Julio 2017,169,Estación automática: disponibilidad las 24 horas,YRIGOYEN HIPOLITO y 24 DE NOVIEMBRE
-58.3915487750987,-34.5972614724898,Ministerio de Educación,Marcelo T De Alvear 1698 y Rodríguez Peña,estacion_automatica.png,AUTOMÁTICA,Julio 2017,174,Estación automática: disponibilidad las 24 horas,1698 ALVEAR MARCELO T DE
-58.4121585445467,-34.5680738913864,Planetario,"Av. Roldan, Belisario y Av. Sarmiento",estacion_automatica.png,AUTOMÁTICA,Julio 2017,177,Estación automática: disponibilidad las 24 horas,ROLDAN BELISARIO AV y SARMIENTO AV
-58.4248666038094,-34.6234574061893,José Marmol,José Marmol 803 y Estados Unidos,estacion_automatica.png,AUTOMÁTICA,Julio 2017,178,Estación automática: disponibilidad las 24 horas,803 MARMOL JOSE
-58.4204709626304,-34.619802649015,Castro y México,Castro 680 entre México y Agrelo,estacion_automatica.png,AUTOMÁTICA,Julio 2017,180,Estación automática: disponibilidad las 24 horas,680 CASTRO
-58.3896919074047,-34.6156376341942,Virrey Cevallos,México 1652 entre Virrey Cevallos y Solís,estacion_automatica.png,AUTOMÁTICA,Julio 2017,183,Estación automática: disponibilidad las 24 horas,1652 MEXICO
-58.4217825750943,-34.6313699718195,Av Pavón y 33 Orientales,"33 Orientales 1439, entre Av. Pavón y Av. Garay",estacion_automatica.png,AUTOMÁTICA,Julio 2017,185,Estación automática: disponibilidad las 24 horas,1439 TREINTA Y TRES ORIENTALES
-58.4071425298455,-34.6125512856829,Catamarca,Adolfo Alsina 2910 y Catamarca,estacion_automatica.png,AUTOMÁTICA,Julio 2017,186,Estación automática: disponibilidad las 24 horas,2910 ALSINA ADOLFO
-58.3856151032862,-34.5977988046358,Talcahuano,Talcahuano 1034 y Marcelo T de Alvear,estacion_automatica.png,AUTOMÁTICA,Julio 2017,192,Estación automática: disponibilidad las 24 horas,1034 TALCAHUANO
-58.4059738535121,-34.5911108808447,Arenales y Aguero,Arenales 2882 y Aguero,estacion_automatica.png,AUTOMÁTICA,Julio 2017,193,Estación automática: disponibilidad las 24 horas,2882 ARENALES
-58.4225720421175,-34.6059524833134,Perón y Francisco Acuña de Figueroa,"Perón, Juan Domingo Tte 3989 entre Francisco Acuña de Figueroa y Medrano",estacion_automatica.png,AUTOMÁTICA,Julio 2017,194,Estación automática: disponibilidad las 24 horas,3989 PERON JUAN DOMINGO TTE
-58.433506016027,-34.6107962769337,Aranguren,Aranguren 188 entre Portugal y Eduardo Acevedo,estacion_automatica.png,AUTOMÁTICA,Agosto 2017,188,Estación automática: disponibilidad las 24 horas,188 ARANGUREN JUAN F DR
-58.3913186324946,-34.630678908608,Pedro Echague,Pedro Echague 1878 entre Combate de los Pozos y Av Entre Ríos,estacion_automatica.png,AUTOMÁTICA,Agosto 2017,184,Estación automática: disponibilidad las 24 horas,1878 ECHAGUE PEDRO
-58.3855860204811,-34.5884746946407,Posadas,Posadas 1350 entre Montevideo y Rodríguez Peña,estacion_automatica.png,AUTOMÁTICA,Agosto 2017,189,Estación automática: disponibilidad las 24 horas,1350 POSADAS
-58.4317911826183,-34.6176667539462,Parque Rivadavia,Chaco 250,estacion_automatica.png,AUTOMÁTICA,Agosto 2017,187,Estación automática: disponibilidad las 24 horas,250 CHACO
-58.3874538315136,-34.6270491370727,Plaza Garay,Av Juan de Garay y Luis Sáenz Peña,estacion_automatica.png,AUTOMÁTICA,Agosto 2017,195,Estación automática: disponibilidad las 24 horas,GARAY JUAN DE AV y SAENZ PEÑA LUIS PRES
-58.4112274223395,-34.5850777556995,Juncal,Juncal 3320 y Jerónimo Salguero,estacion_automatica.png,AUTOMÁTICA,Agosto 2017,190,Estación automática: disponibilidad las 24 horas,3320 JUNCAL
-58.4234808584974,-34.6135962625509,Quintino Bocayuva,Quintino Bocayuva y Don Bosco,estacion_automatica.png,AUTOMÁTICA,Agosto 2017,197,Estación automática: disponibilidad las 24 horas,BOCAYUVA QUINTINO y DON BOSCO
-58.4158815548429,-34.6224389438033,Estados Unidos y Boedo,Estados Unidos 3568 entre Boedo y Maza,estacion_automatica.png,AUTOMÁTICA,Agosto 2017,199,Estación automática: disponibilidad las 24 horas,3568 ESTADOS UNIDOS
-58.4041380643401,-34.6343800087707,Hospital Sardá,Cátulo Castillo 2896 y Dean Funes,estacion_automatica.png,AUTOMÁTICA,Agosto 2017,198,Estación automática: disponibilidad las 24 horas,2896 CASTILLO CATULO
-58.3660190488238,-34.6277763431537,Hospital Argerich,Pi y Margall 750 entre Necochea y Alte. Brown,estacion_automatica.png,AUTOMÁTICA,Agosto 2017,196,Estación automática: disponibilidad las 24 horas,750 PI Y MARGALL
-58.3876529230089,-34.6089915917558,Congreso II,Av Rivadavia y Paraná,estacion_automatica.png,AUTOMÁTICA,Agosto 2017,39,Estación automática: disponibilidad las 24 horas,RIVADAVIA AV y PARANA
-58.4459867498295,-34.5864398918839,Roseti,Roseti 50 y Av Dorrego,estacion_automatica.png,AUTOMÁTICA,Septiembre 2017,102,Estación automática: disponibilidad las 24 horas,50 ROSETI
-58.4043610826701,-34.5881914580956,Austria y French,Austria 2080 entre French y Juncal,estacion_automatica.png,AUTOMÁTICA,Septiembre 2017,200,Estación automática: disponibilidad las 24 horas,2080  AUSTRIA
-58.3603993063349,-34.6391140733123,La Boca,Don Pedro de Mendoza 1819,estacion_automatica.png,AUTOMÁTICA,Inauguración 05/12/2017,179,Estación automática: disponibilidad las 24 horas,DON PEDRO DE MENDOZA AV 1819
